Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
12:00:01,11201,1750,99.07518427518428,407,1
12:00:02,11201,1750,88.42894736842105,456,1
12:00:19,11201,1750,89.608,450,12
12:00:13,11201,1750,85.79489361702127,470,1
12:00:05,11201,1750,84.00750000000001,480,1
12:00:20,11201,1750,80.80881763527054,499,1
12:00:00,11201,1750,75.93898305084745,531,12
12:00:03,11201,1750,76.0822641509434,530,1
12:00:10,11201,1750,76.95343511450382,524,1
12:00:16,11201,1750,77.5453846153846,520,1
12:00:21,11201,1750,75.0905027932961,537,12
12:00:29,11201,1750,76.0822641509434,530,1
12:00:24,11201,1750,75.23059701492537,536,12
12:00:42,11201,1750,77.84478764478764,518,1
12:00:28,11201,1750,75.65403377110694,533,1
12:00:48,11201,1750,78.45058365758754,514,12
12:00:18,11214,1750,74.07412844036698,545,1
12:01:03,11201,1750,80.64720000000001,500,12
12:00:26,11201,1750,74.95092936802973,538,1
12:00:59,11201,1750,79.84871287128713,505,1
12:01:27,11201,1750,84.35899581589959,478,1
12:00:35,11201,1750,75.93898305084745,531,1
12:00:41,11201,1750,76.80685714285715,525,1
12:00:52,11201,1750,78.29825242718447,515,1
12:00:37,11201,1750,76.0822641509434,530,1
12:01:00,11201,1750,79.37716535433071,508,1
12:01:12,11201,1750,81.13400402414487,497,1
12:01:06,11201,1750,80.00714285714285,504,1
12:01:48,11201,1750,87.28051948051947,462,1
12:01:17,11201,1750,81.46181818181819,495,1
12:00:39,11201,1750,75.65403377110694,533,1
12:01:21,11201,1750,81.95853658536585,492,1
12:00:43,11201,1750,76.0822641509434,530,1
12:01:44,11201,1750,85.79489361702127,470,1
12:00:53,11201,1750,77.24827586206897,522,1
12:02:03,11201,1750,86.34603854389721,467,12
12:01:30,11201,1750,80.32589641434262,502,1
12:01:16,11201,1750,77.69479768786128,519,1
12:01:58,11201,1750,84.18288100208768,479,1
12:00:34,11201,1750,70.61926444833625,571,14
12:00:47,11201,1750,72.13524150268337,559,1
12:02:01,11201,1750,83.14144329896908,485,1
12:00:50,11201,1750,72.26451612903226,558,1
12:01:29,11201,1750,77.5453846153846,520,1
12:01:52,11201,1750,80.64720000000001,500,1
12:01:45,11201,1750,78.91115459882583,511,14
12:01:07,11201,1750,73.05000000000001,552,14
12:02:29,11201,1750,85.79489361702127,470,1
12:02:47,11201,1750,88.62329670329672,455,12
12:01:25,11201,1750,74.95092936802973,538,1
12:02:40,11201,1750,87.09200863930886,463,1
12:01:51,11201,1750,78.60350877192982,513,1
12:02:45,11201,1750,87.46984815618221,461,1
12:01:18,11201,1750,72.65513513513513,555,13
12:01:35,11201,1750,74.81187384044527,539,1
