Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
12:00:02,11201,1750,119.6545994065282,337,1
12:00:05,11201,1750,118.25102639296186,341,1
12:00:00,11201,1750,116.20634005763688,347,1
12:00:03,11201,1750,109.575,368,1
12:00:09,11201,1750,108.10616621983915,373,1
12:00:10,11201,1750,103.92680412371135,388,1
12:00:07,11201,1750,98.83235294117647,408,12
12:00:11,11201,1750,99.56444444444445,405,12
12:00:20,11201,1750,97.16530120481929,415,1
12:00:43,11201,1750,102.60458015267176,393,1
12:00:22,11201,1750,94.65633802816902,426,1
12:00:32,11201,1750,96.69928057553956,417,12
12:00:34,11201,1750,96.93173076923077,416,1
12:00:57,11201,1750,102.34416243654822,394,1
12:00:24,11201,1750,93.77581395348838,430,1
12:00:40,11201,1750,93.99440559440559,429,1
12:00:28,11201,1750,91.02392776523702,443,1
12:00:51,11201,1750,96.00857142857143,420,1
12:00:38,11201,1750,92.48532110091743,436,1
12:00:50,11201,1750,92.69793103448275,435,1
12:00:41,11201,1750,90.00803571428571,448,1
12:00:15,11201,1750,84.53584905660378,477,1
12:00:30,11201,1750,87.09200863930886,463,1
12:00:44,11201,1750,87.46984815618221,461,1
12:01:15,11201,1750,85.97782515991472,469,13
12:00:56,11201,1750,82.46134969325153,489,1
12:01:00,11201,1750,83.14144329896908,485,1
12:01:10,11201,1750,84.71344537815126,476,1
12:00:58,11201,1750,82.46134969325153,489,1
12:01:12,11201,1750,84.89178947368421,475,12
12:01:08,11201,1750,84.00750000000001,480,1
12:01:25,11201,1750,86.90431034482759,464,1
12:01:31,11201,1750,87.85098039215687,459,1
12:01:24,11201,1750,86.53133047210301,466,1
12:01:37,11201,1750,88.81850220264317,454,1
12:01:26,11201,1750,86.53133047210301,466,1
12:01:20,11201,1750,85.43135593220339,472,1
12:01:47,11201,1750,90.41165919282511,446,1
12:01:49,11201,1750,90.61483146067417,445,1
12:01:53,11201,1750,90.00803571428571,448,1
12:01:46,11201,1750,88.42894736842105,456,1
12:02:09,11201,1750,92.91152073732718,434,1
12:01:36,11201,1750,86.16153846153847,468,1
12:01:56,11201,1750,89.8075723830735,449,1
12:02:29,11201,1750,96.69928057553956,417,1
12:02:11,11201,1750,92.69793103448275,435,1
12:02:00,11201,1750,90.20939597315436,447,12
12:02:37,11201,1750,98.1109489051095,411,1
12:02:53,11201,1750,101.82727272727273,396,1
12:02:31,11201,1750,96.23770883054893,419,1
