Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
20:00:09,11201,300,111.39116022099448,362,12
20:00:18,11201,300,113.90847457627119,354,1
20:00:34,11201,300,105.28355091383811,383,1
20:00:33,11201,300,103.92680412371135,388,1
20:00:50,11201,300,108.39677419354838,372,1
20:00:32,11201,300,95.10283018867925,424,1
20:00:23,11201,300,85.2507399577167,473,13
20:00:19,11201,300,84.53584905660378,477,13
20:00:22,11201,300,84.71344537815126,476,12
20:00:45,11201,300,89.01456953642383,453,1
20:01:31,11201,300,99.07518427518428,407,1
20:00:28,11201,300,85.61273885350319,471,1
20:00:57,11201,300,91.22986425339367,442,1
20:00:25,11201,300,84.89178947368421,475,1
20:01:19,11201,300,95.78052256532067,421,1
20:01:09,11201,300,93.34166666666667,432,1
20:00:41,11201,300,87.46984815618221,461,1
20:01:59,11201,300,105.28355091383811,383,1
20:00:47,11201,300,88.42894736842105,456,1
20:01:25,11201,300,96.46794258373207,418,1
20:00:51,11201,300,89.01456953642383,453,1
20:01:20,11201,300,95.10283018867925,424,1
20:00:55,11201,300,89.608,450,1
20:01:14,11201,300,93.34166666666667,432,1
20:01:38,11201,300,96.69928057553956,417,12
20:01:49,11201,300,98.83235294117647,408,1
20:01:37,11201,300,95.78052256532067,421,1
20:02:19,11201,300,106.11473684210526,380,1
20:01:51,11201,300,96.23770883054893,419,12
20:01:40,11201,300,93.55823665893273,431,1
20:02:15,11201,300,100.05856079404467,403,12
20:01:00,11201,300,83.65892116182573,482,12
20:02:01,11201,300,93.55823665893273,431,1
20:02:41,11201,300,102.86632653061226,392,1
20:01:48,11201,300,90.20939597315436,447,1
20:01:52,11201,300,90.20939597315436,447,1
20:01:02,11201,300,80.32589641434262,502,13
20:01:07,11201,300,80.9710843373494,498,1
20:01:08,11201,300,80.80881763527054,499,1
20:03:08,11201,300,103.12941176470589,391,1
20:02:50,11201,300,97.16530120481929,415,1
20:02:45,11201,300,95.32765957446809,423,1
20:01:12,11201,300,77.69479768786128,519,1
20:01:22,11201,300,79.06588235294117,510,1
20:01:24,11201,300,79.06588235294117,510,1
20:01:33,11201,300,80.32589641434262,502,1
20:01:35,11201,300,80.32589641434262,502,12
20:01:39,11201,300,80.80881763527054,499,1
20:03:29,11201,300,102.60458015267176,393,1
20:03:14,11201,300,98.35024390243903,410,1
20:03:17,11201,300,98.1109489051095,411,1
20:03:00,11201,300,93.55823665893273,431,1
20:02:56,11201,300,91.22986425339367,442,1
20:03:09,11201,300,90.61483146067417,445,14
20:03:51,11201,300,99.3192118226601,406,12
20:02:44,11201,300,85.07088607594937,474,13
20:02:31,11201,300,82.63032786885246,488,1
20:02:35,11201,300,82.97037037037038,486,1
20:02:47,11201,300,84.89178947368421,475,1
20:02:52,11201,300,85.61273885350319,471,1
20:03:36,11201,300,94.43466042154567,427,1
20:02:51,11201,300,85.07088607594937,474,1
20:03:05,11201,300,86.71741935483871,465,1
20:04:04,11201,300,96.93173076923077,416,1
20:02:54,11201,300,81.13400402414487,497,1
20:03:49,11201,300,91.02392776523702,443,1
20:04:01,11201,300,92.27368421052631,437,14
20:04:19,11201,300,96.00857142857143,420,12
20:04:08,11201,300,93.34166666666667,432,1
20:04:33,11201,300,98.83235294117647,408,1
20:03:59,11201,300,91.02392776523702,443,1
20:03:58,11201,300,90.41165919282511,446,1
20:04:32,11201,300,97.4,414,1
20:05:25,11201,300,109.87356948228883,367,1
20:04:58,11201,300,101.82727272727273,396,1
20:04:21,11201,300,92.48532110091743,436,1
20:04:05,11201,300,88.81850220264317,454,12
20:04:57,11201,300,99.07518427518428,407,1
20:04:50,11201,300,95.10283018867925,424,1
20:05:57,11201,300,109.87356948228883,367,1
20:05:29,11201,300,100.30746268656716,402,1
20:05:48,11201,300,100.80900000000001,400,1
20:05:33,11201,300,96.93173076923077,416,1
20:05:31,11201,300,95.55355450236966,422,12
20:06:10,11201,300,103.65964010282777,389,1
20:06:11,11201,300,102.86632653061226,392,1
20:05:52,11201,300,95.32765957446809,423,12
20:06:39,11201,300,106.95915119363396,377,1
20:04:36,11201,300,79.22121807465618,509,1
20:04:35,11201,300,78.75703125,512,12
20:05:06,11201,300,83.65892116182573,482,1
20:05:10,11201,300,84.00750000000001,480,1
20:05:47,11201,300,90.81891891891892,444,1
20:06:21,11201,300,98.35024390243903,410,1
20:07:05,11201,300,109.87356948228883,367,1
20:05:58,11201,300,92.48532110091743,436,1
20:06:01,11201,300,93.12609699769052,433,1
20:05:54,11201,300,91.02392776523702,443,1
20:06:38,11201,300,100.55760598503741,401,1
20:06:18,11201,300,94.87905882352942,425,1
20:07:07,11201,300,103.65964010282777,389,1
20:07:01,11201,300,101.06165413533836,399,1
20:06:36,11201,300,94.43466042154567,427,1
20:05:50,11201,300,85.2507399577167,473,1
20:06:00,11201,300,86.71741935483871,465,1
