Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
20:00:30,11201,300,133.52185430463575,302,1
20:00:09,11201,300,124.45555555555556,324,1
20:00:46,11201,300,117.21976744186047,344,1
20:00:35,11201,300,113.58760563380282,355,1
20:00:19,11201,300,108.10616621983915,373,1
20:00:41,11201,300,106.67619047619048,378,1
20:00:33,11201,300,103.65964010282777,389,1
20:00:52,11201,300,102.34416243654822,394,1
20:01:16,11201,300,107.81711229946524,374,1
20:01:00,11201,300,101.82727272727273,396,1
20:00:50,11201,300,98.83235294117647,408,1
20:01:04,11201,300,102.08506329113925,395,1
20:00:53,11201,300,96.93173076923077,416,1
20:01:17,11201,300,102.60458015267176,393,1
20:01:02,11201,300,94.87905882352942,425,1
20:00:39,11201,300,89.608,450,1
20:00:58,11201,300,93.34166666666667,432,1
20:01:45,11201,300,97.87281553398059,412,1
20:00:37,11201,300,83.14144329896908,485,12
20:01:20,11201,300,91.02392776523702,443,1
20:00:49,11201,300,85.07088607594937,474,1
20:01:53,11201,300,97.87281553398059,412,1
20:02:05,11201,300,100.55760598503741,401,1
20:01:58,11201,300,98.59070904645478,409,1
20:01:28,11201,300,87.66000000000001,460,1
20:02:37,11201,300,98.83235294117647,408,12
20:02:46,11201,300,101.06165413533836,399,1
20:02:16,11201,300,92.48532110091743,436,1
20:01:37,11201,300,83.14144329896908,485,1
20:01:18,11201,300,79.69090909090909,506,14
20:01:30,11201,300,81.29758064516129,496,1
20:02:23,11201,300,90.61483146067417,445,14
20:02:53,11201,300,96.93173076923077,416,1
20:02:39,11201,300,93.55823665893273,431,1
20:02:47,11201,300,94.43466042154567,427,1
20:03:16,11201,300,100.55760598503741,401,1
20:02:22,11201,300,88.42894736842105,456,1
20:02:49,11201,300,92.91152073732718,434,1
20:01:48,11201,300,79.69090909090909,506,12
20:02:01,11201,300,81.46181818181819,495,1
20:03:26,11201,300,98.35024390243903,410,1
20:02:27,11201,300,85.79489361702127,470,1
20:03:46,11201,300,102.60458015267176,393,1
20:03:57,11201,300,105.28355091383811,383,1
20:03:49,11201,300,101.31557788944724,398,1
20:03:31,11201,300,94.87905882352942,425,1
20:02:08,11201,300,79.22121807465618,509,1
20:04:14,11201,300,101.57078085642317,397,1
20:03:29,11201,300,88.42894736842105,456,14
20:02:10,11201,300,74.95092936802973,538,1
20:04:16,11201,300,97.87281553398059,412,12
20:02:40,11201,300,79.06588235294117,510,1
20:03:08,11201,300,83.65892116182573,482,1
20:02:41,11201,300,79.06588235294117,510,1
20:04:23,11201,300,98.59070904645478,409,1
20:04:30,11201,300,100.05856079404467,403,1
20:04:08,11201,300,92.27368421052631,437,14
20:03:03,11201,300,79.69090909090909,506,13
20:04:01,11201,300,89.608,450,14
20:04:12,11201,300,91.02392776523702,443,1
20:05:37,11201,300,109.575,368,1
20:04:59,11201,300,98.1109489051095,411,1
20:02:42,11201,300,72.91790235081375,553,1
20:03:13,11201,300,76.95343511450382,524,1
20:04:25,11201,300,89.01456953642383,453,1
20:04:48,11201,300,93.12609699769052,433,1
20:05:15,11201,300,98.83235294117647,408,1
20:02:56,11201,300,71.87807486631016,561,13
20:03:25,11201,300,75.65403377110694,533,1
20:03:24,11201,300,75.23059701492537,536,1
20:03:37,11201,300,76.80685714285715,525,1
20:03:38,11201,300,76.80685714285715,525,1
20:03:40,11201,300,76.80685714285715,525,1
20:03:42,11201,300,76.80685714285715,525,12
20:03:52,11201,300,78.14651162790697,516,1
20:04:31,11201,300,84.35899581589959,478,13
20:04:00,11201,300,79.06588235294117,510,1
20:04:52,11201,300,88.04279475982533,458,1
20:04:02,11201,300,79.22121807465618,509,1
20:04:42,11201,300,85.79489361702127,470,1
20:04:17,11201,300,81.29758064516129,496,1
20:04:27,11201,300,82.8,487,1
20:04:41,11201,300,85.07088607594937,474,12
20:05:31,11201,300,94.65633802816902,426,1
20:06:21,11201,300,105.00937499999999,384,1
20:06:23,11201,300,103.39384615384616,390,1
20:05:46,11201,300,93.77581395348838,430,1
20:05:57,11201,300,96.23770883054893,419,1
20:05:02,11201,300,84.35899581589959,478,1
