Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
20:00:05,11201,300,106.95915119363396,377,1
20:00:02,11201,300,105.83622047244096,381,1
20:00:00,11201,300,99.81089108910892,404,1
20:00:23,11201,300,103.65964010282777,389,1
20:00:08,11201,300,97.6358353510896,413,1
20:00:11,11201,300,95.78052256532067,421,1
20:00:21,11201,300,98.1109489051095,411,1
20:01:11,11201,300,107.2436170212766,376,1
20:00:55,11201,300,102.60458015267176,393,1
20:00:13,11201,300,92.06301369863013,438,1
20:00:37,11201,300,96.23770883054893,419,1
20:01:01,11201,300,101.57078085642317,397,1
20:00:15,11201,300,90.41165919282511,446,1
20:00:34,11201,300,93.77581395348838,430,12
20:01:15,11201,300,102.60458015267176,393,1
20:01:23,11201,300,100.05856079404467,403,12
20:00:57,11201,300,93.77581395348838,430,1
20:00:56,11201,300,93.55823665893273,431,1
20:01:26,11201,300,100.30746268656716,402,1
20:01:33,11201,300,99.81089108910892,404,1
20:01:29,11201,300,97.16530120481929,415,1
20:01:04,11201,300,90.61483146067417,445,1
20:00:42,11201,300,85.79489361702127,470,1
20:00:50,11201,300,86.90431034482759,464,14
20:01:40,11201,300,96.93173076923077,416,1
20:02:21,11201,300,103.12941176470589,391,1
20:02:15,11201,300,101.06165413533836,399,1
20:01:46,11201,300,93.55823665893273,431,1
20:02:18,11201,300,100.80900000000001,400,1
20:02:25,11201,300,96.93173076923077,416,1
20:02:58,11201,300,105.28355091383811,383,1
20:02:27,11201,300,97.16530120481929,415,1
20:02:38,11201,300,98.59070904645478,409,1
20:00:48,11201,300,77.39654510556622,521,13
20:00:58,11201,300,78.60350877192982,513,12
20:01:02,11201,300,78.91115459882583,511,1
20:02:39,11201,300,97.4,414,1
20:01:06,11201,300,79.22121807465618,509,1
20:01:08,11201,300,79.37716535433071,508,1
20:01:10,11201,300,79.5337278106509,507,12
20:01:18,11201,300,80.48622754491018,501,1
20:02:37,11201,300,95.32765957446809,423,1
20:01:32,11201,300,82.63032786885246,488,1
20:03:02,11201,300,101.06165413533836,399,1
20:01:49,11201,300,85.2507399577167,473,1
20:01:37,11201,300,82.97037037037038,486,1
20:01:38,11201,300,82.97037037037038,486,1
20:01:59,11201,300,86.34603854389721,467,1
20:02:45,11201,300,95.78052256532067,421,1
20:01:55,11201,300,85.43135593220339,472,1
20:01:57,11201,300,85.43135593220339,472,1
20:02:31,11201,300,92.06301369863013,438,12
20:03:20,11201,300,103.12941176470589,391,1
20:02:11,11201,300,87.66000000000001,460,1
20:02:48,11201,300,93.99440559440559,429,12
20:01:42,11201,300,80.80881763527054,499,14
20:01:44,11201,300,80.9710843373494,498,1
20:03:57,11201,300,105.83622047244096,381,1
20:01:50,11201,300,79.06588235294117,510,1
20:01:54,11201,300,79.37716535433071,508,12
20:02:57,11201,300,90.41165919282511,446,1
20:03:01,11201,300,90.81891891891892,444,12
20:03:39,11201,300,98.83235294117647,408,1
20:03:11,11201,300,91.85330296127563,439,1
