Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
06:00:01,11201,1000,112.00999999999999,360,1
06:00:05,11201,1000,105.83622047244096,381,12
06:00:16,11201,1000,104.1953488372093,387,1
06:00:13,11201,1000,96.00857142857143,420,1
06:00:31,11201,1000,100.05856079404467,403,1
06:00:02,11201,1000,93.12609699769052,433,12
06:00:47,11201,1000,103.65964010282777,389,1
06:00:26,11201,1000,96.23770883054893,419,1
06:00:21,11201,1000,93.55823665893273,431,1
06:00:27,11201,1000,92.91152073732718,434,1
06:00:40,11201,1000,95.10283018867925,424,12
06:01:29,11201,1000,106.67619047619048,378,1
06:00:50,11201,1000,95.55355450236966,422,1
06:01:59,11201,1000,112.95126050420168,357,1
06:01:33,11201,1000,103.12941176470589,391,1
06:00:09,11201,1000,82.46134969325153,489,13
06:00:22,11201,1000,84.53584905660378,477,1
06:00:57,11201,1000,90.81891891891892,444,1
06:01:24,11201,1000,96.69928057553956,417,1
06:00:48,11201,1000,88.04279475982533,458,1
06:01:12,11201,1000,92.91152073732718,434,1
06:01:58,11201,1000,100.30746268656716,402,1
06:02:19,11201,1000,104.46528497409327,386,1
06:00:37,11201,1000,81.29758064516129,496,14
06:00:42,11201,1000,81.95853658536585,492,12
06:01:02,11201,1000,85.07088607594937,474,1
06:02:17,11201,1000,100.05856079404467,403,1
06:02:34,11201,1000,104.46528497409327,386,1
06:01:53,11201,1000,93.34166666666667,432,1
06:02:25,11201,1000,99.81089108910892,404,1
06:02:09,11201,1000,96.00857142857143,420,12
06:01:36,11201,1000,84.18288100208768,479,13
06:02:03,11201,1000,89.01456953642383,453,12
06:01:52,11201,1000,86.71741935483871,465,12
06:02:07,11201,1000,89.21150442477877,452,12
06:02:00,11201,1000,87.66000000000001,460,12
06:02:11,11201,1000,89.40931263858093,451,1
06:02:14,11201,1000,89.8075723830735,449,1
06:02:27,11201,1000,91.02392776523702,443,1
06:02:29,11201,1000,91.22986425339367,442,1
06:02:45,11201,1000,94.43466042154567,427,1
06:02:39,11201,1000,93.12609699769052,433,1
06:02:46,11201,1000,94.21401869158879,428,1
06:02:49,11201,1000,93.99440559440559,429,1
06:03:29,11201,1000,99.81089108910892,404,1
06:02:38,11201,1000,86.16153846153847,468,1
06:02:41,11201,1000,86.53133047210301,466,1
06:02:42,11201,1000,86.34603854389721,467,1
06:04:15,11201,1000,107.81711229946524,374,1
06:03:58,11201,1000,100.80900000000001,400,1
06:03:25,11201,1000,91.43673469387755,441,1
06:03:21,11201,1000,90.20939597315436,447,1
06:03:26,11201,1000,89.01456953642383,453,14
06:04:26,11201,1000,99.07518427518428,407,1
06:02:51,11201,1000,80.16620278330019,503,1
06:04:06,11201,1000,93.99440559440559,429,1
06:04:33,11201,1000,98.35024390243903,410,1
06:04:36,11201,1000,96.46794258373207,418,1
06:04:51,11201,1000,98.83235294117647,408,1
06:05:07,11201,1000,100.30746268656716,402,12
06:05:09,11201,1000,100.55760598503741,401,1
06:02:56,11201,1000,75.0905027932961,537,1
06:02:57,11201,1000,75.0905027932961,537,12
06:04:43,11201,1000,93.55823665893273,431,1
06:03:18,11201,1000,77.99535783365572,517,1
06:03:20,11201,1000,77.99535783365572,517,12
06:03:34,11201,1000,80.00714285714285,504,1
06:03:47,11201,1000,81.79229208924949,493,1
06:03:48,11201,1000,81.79229208924949,493,1
06:04:19,11201,1000,87.09200863930886,463,1
06:03:54,11201,1000,82.2930612244898,490,12
06:05:32,11201,1000,102.86632653061226,392,1
06:04:21,11201,1000,86.71741935483871,465,1
06:05:12,11201,1000,97.16530120481929,415,1
06:04:37,11201,1000,88.62329670329672,455,14
06:05:40,11201,1000,102.34416243654822,394,1
06:04:38,11201,1000,88.42894736842105,456,1
06:04:52,11201,1000,90.81891891891892,444,1
06:05:49,11201,1000,99.56444444444445,405,1
06:05:42,11201,1000,96.93173076923077,416,1
06:06:03,11201,1000,102.08506329113925,395,1
06:04:55,11201,1000,86.90431034482759,464,12
06:05:43,11201,1000,96.46794258373207,418,1
06:05:18,11201,1000,90.81891891891892,444,1
06:06:09,11201,1000,99.56444444444445,405,1
06:05:53,11201,1000,91.22986425339367,442,1
06:05:55,11201,1000,91.43673469387755,441,12
06:06:23,11201,1000,97.4,414,1
06:06:08,11201,1000,93.77581395348838,430,1
06:06:01,11201,1000,92.06301369863013,438,1
06:06:04,11201,1000,80.16620278330019,503,13
06:06:28,11201,1000,81.62672064777328,494,1
06:06:39,11201,1000,82.63032786885246,488,1
06:06:59,11201,1000,85.97782515991472,469,1
06:06:44,11201,1000,83.31322314049588,484,1
06:06:45,11201,1000,83.31322314049588,484,1
06:06:46,11201,1000,82.8,487,14
06:06:30,11201,1000,80.00714285714285,504,1
06:06:52,11201,1000,83.31322314049588,484,14
06:06:50,11201,1000,82.97037037037038,486,1
06:06:15,11201,1000,76.37045454545455,528,13
06:05:46,11201,1000,71.49574468085106,564,13
06:06:13,11201,1000,74.81187384044527,539,1
06:06:22,11201,1000,75.93898305084745,531,1
06:06:24,11201,1000,75.93898305084745,531,1
06:07:01,11201,1000,77.39654510556622,521,13
06:06:58,11201,1000,76.95343511450382,524,12
06:07:25,11201,1000,80.9710843373494,498,1
06:07:09,11201,1000,78.29825242718447,515,12
06:07:51,11201,1000,85.2507399577167,473,1
06:07:26,11201,1000,80.80881763527054,499,1
06:07:16,11201,1000,79.06588235294117,510,1
06:07:55,11201,1000,85.61273885350319,471,1
06:07:34,11201,1000,81.79229208924949,493,1
06:07:15,11201,1000,78.60350877192982,513,1
06:07:57,11201,1000,85.61273885350319,471,1
06:07:43,11201,1000,82.97037037037038,486,1
